token symbol
13061 360ONE
474 3MINDIA
13 ABB
22 ACC
27061 ACMESOLAR
13086 AIAENG
25780 APLAPOLLO
21238 AUBANK
8110 AWL
23729 AADHARHFC
7 AARTIIND
5385 AAVAS
17903 ABBOTINDIA
13587 ACE
10217 ADANIENSOL
25 ADANIENT
3563 ADANIGREEN
15083 ADANIPORTS
17388 ADANIPOWER
6066 ATGL
21614 ABCAPITAL
30108 ABFRL
625 ABREL
6018 ABSLAMC
40 AEGISLOG
25977 AFCONS
11343 AFFLE
8124 AJANTPHARM
24715 AKUMS
25328 APLLTD
5265 ALIVUS
11703 ALKEM
4487 ALKYLAMINE
17675 ALOKINDS
100 ARE&M
1185 AMBER
1270 AMBUJACEM
7145 ANANDRATHI
13620 ANANTRAJ
324 ANGELONE
11491 APARINDS
157 APOLLOHOSP
163 APOLLOTYRE
5435 APTUS
5378 ASAHIINDIA
212 ASHOKLEY
236 ASIANPAINT
1508 ASTERDM
5610 ASTRAZEN
14418 ASTRAL
263 ATUL
275 AUROPHARMA
23553 AIIL
19913 DMART
5900 AXISBANK
368 BASF
395 BEML
17279 BLS
19585 BSE
16669 BAJAJ-AUTO
317 BAJFINANCE
16675 BAJAJFINSV
305 BAJAJHLDNG
25270 BAJAJHFL
335 BALKRISIND
341 BALRAMCHIN
2263 BANDHANBNK
4668 BANKBARODA
4745 BANKINDIA
11377 MAHABANK
371 BATAINDIA
17927 BAYERCROP
404 BERGEPAINT
2144 BDL
383 BEL
422 BHARATFORG
438 BHEL
526 BPCL
10604 BHARTIARTL
23489 BHARTIHEXA
11966 BIKAJI
11373 BIOCON
6994 BSOFT
495 BLUEDART
8311 BLUESTARCO
380 BBTC
2181 BOSCHLTD
24814 FIRSTCRY
15184 BRIGADE
547 BRITANNIA
7227 MAPMYINDIA
11452 CCL
628 CESC
760 CGPOWER
757 CRISIL
9362 CAMPUS
583 CANFINHOME
10794 CANBK
3906 CAPLIPOINT
20329 CGCL
595 CARBORUNIV
1250 CASTROLIND
15254 CEATLTD
14894 CENTRALBK
21174 CDSL
13305 CENTURYPLY
15039 CERA
8546 CHALET
637 CHAMBLFERT
2049 CHENNPETRO
21740 CHOLAHLDNG
685 CHOLAFIN
694 CIPLA
5701 CUB
5049 CLEAN
20374 COALINDIA
21508 COCHINSHIP
11543 COFORGE
17945 COHANCE
15141 COLPAL
342 CAMS
18060 CONCORDBIO
4749 CONCOR
739 COROMANDEL
2854 CRAFTSMAN
4421 CREDITACC
17094 CROMPTON
1901 CUMMINSIND
5748 CYIENT
811 DCMSHRIRAM
14732 DLF
20551 DOMS
772 DABUR
8075 DALBHARAT
7358 DATAPATTNS
827 DEEPAKFERT
19943 DEEPAKNTR
9599 DELHIVERY
5373 DEVYANI
10940 DIVISLAB
21690 DIXON
11654 LALPATHLAB
881 DRREDDY
916 EIDPARRY
919 EIHOTEL
910 EICHERMOT
13643 ELECON
12347 ELGIEQUIP
13517 EMAMILTD
24398 EMCURE
18822 ENDURANCE
4907 ENGINERSIN
21154 ERIS
958 ESCORTS
5097 ETERNAL
676 EXIDEIND
6545 NYKAA
1023 FEDERALBNK
1008 FACT
1038 FINCABLES
1041 FINPIPE
14304 FSL
12032 FIVESTAR
14592 FORTIS
4717 GAIL
16783 GVT&D
13528 GMRAIRPORT
5475 GRSE
277 GICRE
1576 GILLETTE
1186 GLAND
1153 GLAXO
7406 GLENMARK
11956 MEDANTA
23799 GODIGIT
13409 GPIL
1181 GODFRYPHLP
144 GODREJAGRO
10099 GODREJCP
10925 GODREJIND
17875 GODREJPROP
11872 GRANULES
592 GRAPHITE
1232 GRASIM
20534 GRAVITA
13776 GESHIP
13750 FLUOROCHEM
10599 GUJGASLTD
5204 GMDCLTD
1174 GNFC
19731 GPPL
13197 GSPL
1336 HEG
13966 HBLENGINE
7229 HCLTECH
4244 HDFCAMC
1333 HDFCBANK
467 HDFCLIFE
21951 HFCL
48 HAPPSTMNDS
9819 HAVELLS
1348 HEROMOTOCO
14334 HSCL
1363 HINDALCO
2303 HAL
17939 HINDCOPPER
1406 HINDPETRO
1394 HINDUNILVR
1424 HINDZINC
18457 POWERINDIA
2056 HOMEFIRST
19813 HONASA
3417 HONAUT
20825 HUDCO
25844 HYUNDAI
4963 ICICIBANK
21770 ICICIGI
18652 ICICIPRULI
1476 IDBI
11184 IDFCFIRSTB
1491 IFCI
11809 IIFL
20607 INOXINDIA
15313 IRB
4986 IRCON
1660 ITC
1675 ITI
